FIELD,TOPIC,LANGUAGE,CATEGORY,BIBTEXKEY,AUTHOR,EDITOR,TITLE,YEAR,TITLE_TRANSLATION,PUBLISHER,ADDRESS,PAGES,BOOKTITLE,BOOKTITLE_TRANSLATION,JOURNAL,VOLUME,NUMBER,SCHOOL,NOTE,URL,DOI,ABSTRACT
"linguistics, semantics, syntax","event structure, lexical decomposition",,incollection,wunderlich2012,"Wunderlich, Dieter","Hinzen, Wolfram and Machery, Edouard and Werning, Markus",Lexical Decomposition In Grammar,2012,,Oxford University Press,Oxford,307-327,The Oxford Handbook of Compositionality,,,,,,,,,"The hierarchy of conceptual categories involves a level of abstraction called the basic level. This is the level at which the subjects are fastest at identifying category members, at which conceptual priming most easily obtains, at which information is most easily remembered over time, and at which a single mental image can reflect the entire category. Basic-level categories tend to be the first ones acquired by young children, and also tend to be expressed by the simplest words. Various approaches have been developed to deal especially with verbs, which, as the basis of grammatical clauses, are more structured than nouns. Generative semantics explored the idea that the inherent structure of verbs conforms to the syntactic structure of sentences, and therefore should be studied by means of complex paraphrases."
linguistics,causation,,phdthesis,escamilla2012,"Escamilla, Ramón M.",,"An updated typology of causative constructions: form-function mappings in Hupa (Californian Athabaskan), Chungli Ao (Tibeto-Burman) and beyond",2012,,,,,,,,,,"University of California, Berkeley",,,,
linguistics,causation,Lithuanian,article,arkadiev2013,"Arkadiev, Peter",,From transitivity to aspect: the causative-inchoative alternation and its extensions in Lithuanian,2013,,,,39-77,,,Baltic Linguistics,4,,,,,,"This paper proposes a unified treatment of two important types of morpho-semantic correlations involving Lithuanian verbs forming their present stem with nasal infix or suffix-st: the causative/inchoative correlation of the type kilti 'rise' (intransitive) vs. kelti 'raise' (transitive) and the purely aspectual (actional) correlation of the type verkti 'weep' (atelic process) vs. pravirkti 'start weeping' (telic achievement), involving mostly intransitive verbs differing as process/state vs. event and not affecting their argument structure. It is argued that the latter correlation, despite having been largely neglected in the literature, is even more widespread in Lithuanian than the former. It is argued that the aspectual correlation has undergone extension in the more recent history of Lithuanian, and a diachronic scenario is outlined accounting for the semantic and morphological links between the older transitivity alternation and the newer actional alternation."
"linguistics, description",causation,Bassa,article,imoh2013,"Imoh, Philip Manda",,Causative Constructions: A Descriptive Analysis,2013,,,,66-89,,,UJAH: Unizik Journal of Arts and Humanities ,14,2,,,,,"This study is a descriptive study of causative constructions in Bassa language. It is a language classified as belonging to the Western Kru of Benue Congo (Blench, & Williamson, 2000:25; Crozier and Blench, 1992:32). Causative construction implies an expression where the caused event is depicted as taking place because someone does something or something happens, that is, if x hadn’t happened, y wouldn’t have happened. The process is characterized by two events such that one occurs at t1 and another at t2, and the occurrence of the first is responsible for the second event. Data for the study were sourced by a customized checklist, my native intuition as native speaker, and some written texts in Bassa. The work discovered that morphologically derived causative verbs could come from a verb or an adjective stem and in each case; it is characterized by transitivizing the derived verb with the resultant effect of increasing the argument by one to the basic structure and transformation of the arguments. In this case, the basic subject moves to the object position and the applied argument, that is, the causer argument becomes the subject of the derived mono-clausal structure. This work also discovered that when these processes occur, the applied subject is focalized, becomes the privileged argument and displaces the inherent subject and moves it below the predicate and the derived mono-clausal sentence from the complex sentence is economized."
"linguistics, linguistic typology","causation, non-canonical",,article,kittila2013,"Kittilä, Seppo",,Causative morphemes as a de-transitivizing device: what do non-canonical instances reveal about causation and causativization?,2013,,,,113-138,,,Folia Linguistica,47,1,,,,https://doi.org/10.1515/flin.2013.006,"Causativization is typically understood as a process that increases the valency of verbs via agent introduction. In addition, causatives have other functions, such as agentivization. Here, we examine even less orthodox functions of causative mor-phemes: cases in which causativization decreases the degree of transitivity associ-ated with the denoted event – that is, the expressed function is the exact opposite of the canonical function. The expression of this function by causative morphemes becomes understandable if we consider the differences between agent-related and causer-related  causation.  In  agent-related  causation,  the  original  clause  involves  no agent and agent introduction is thus complete (as in ‘the child broke the vase’). In the causer-related causation, agent introduction is less complete since the ori-ginal event already involves an agent (‘I made him build a house’). The occurrence of transitivity-decreasing causatives is explained by referring to features of causer-related  causation.  Moreover,  the  article  proposes  a  grammaticalization  path  for  de-transitivizing causatives based on instances of causer-related causation."
"linguistics, linguistic typology",lability,,book,letuchiy2013,"Летучий, Александр Борисович",,Типология лабильных глаголов,2013,Typology of labile verbs,Языки славянской культуры,Москва,384 с.,,,,,,,,,,"В книге на типологическом материале исследуются лабильные глаголы — глаголы, способные быть и переходными, и непереходными без изменения формы (например, английский break 'ломать(ся)', русский капать — Вода капает — Я капаю воду в стакан). Лабильность до сих пор не изучена лингвистикой в полной мере. Часто считается, что лабильные глаголы — это явление, характерное, прежде всего, для английского и кавказских языков. В монографии показано, что это не так: в языках самых разных ареалов и генетической принадлежности есть лабильные глаголы. Книга адресована лингвистам, специалистам в области синтаксиса, семантики, лингвистической типологии. Она может быть интересна и специалистам по описанию отдельных языков, семей и ареалов, поскольку лабильность обнаруживается в самых разных типах языков.The book analyzes typology of labile verbs (verbs which can be transitive or intransitive with no formal change). The set of topics includes: - Labile verbs and similar phenomena - Geographical distribution of labile verbs - Classification of labile verbs - Diachronic issues of lability - Labile verbs in Arabic (case study)"
"linguistics, philosophy, psychology",causation,,book,copleymartin2014,,"Copley, Bridget and Martin, Fabienne",Causation in Grammatical Structures,2014,,Oxford University Press,Oxford,472 pp.,,,,,,,,https://academic.oup.com/book/8668,,"Causation is a topic of great interest to a number of different domains related to the study of natural language, from philosophy to cognitive ontology to argument structure. However, these domains have historically seen little interaction. This volume collects research from experts in the fields of linguistics, philosophy, and psychology, making explicit their assumptions and key questions, with the aim of arriving at a more sophisticated understanding both of how causal concepts are expressed in causal meanings and of how those meanings in turn are organized into structures. The research presented here addresses some of the most exciting current questions related to the way causation is expressed in grammatical structures, using data from both familiar and less familiar languages."
linguistics,"causation, event structure",,incollection,lyutikovatatevosov2014,"Lyutikova, Ekaterina and Tatevosov, Sergei","Copley, B. and Martin, F.",Causativization and event structure,2014,,Oxford University Press,Oxford,279-327,Causation in grammatical structures,,,,,,,,,
"linguistics, linguistic typology",lability,,article,creissels2014,"Creissels, Denis",,P-lability and radical P-alignment,2014,,,,911-944,,,Linguistics ,52,4,,,https://www.researchgate.net/publication/271382600_P-lability_and_radical_P-alignment,,"The study of P-lability in languages in which the relationship be-tween  transitive and intransitive predication can be characterized as radicalP-alignment must take into account the formal distinction between weak andstrong lability, and the semantic distinction between argument structure modify-ing and argument structure preserving lability. Radical P-alignment is particularlycommon among Daghestanian languages in which some authors operating witha loose definition of P-lability have argued that P-lability is pervasive, whereasothers have argued that, in the same languages, P-lability is exceptional. On thebasis of more precise definitions, it is shown that, in the languages in question,all transitive verbs exhibit a behavior whose characterization as a type of labilitymay be controversial, depending on the definition of lability, whereas some ofthem only show a behavior that stands closer to prototypical lability. This paperargues that the observation of causativization is particularly relevant to the anal-ysis of lability in such languages."
"linguistics, linguistic typology",causation,,article,haspelmathetal2014,"Haspelmath, Martin and Calude, Andreea and Spagnol, Michael and Narrog, Heiko and Bamyacı, Elif",,Coding causal–noncausal verb alternations: A form–frequency correspondence explanation,2014,,,,587-625,,,Journal of Linguistics,50,3,,,https://www.researchgate.net/publication/272038244_Coding_causal-noncausal_verb_alternations_A_form-frequency_correspondence_explanation_-_CORRIGENDUM,,"We propose, and provide corpus-based support for, a usage-based explanation for cross-linguistic trends in the coding of causal–noncausal verb pairs, such as raise/rise, break (tr.)/break (intr.). While English mostly uses the same verb form both for the causal and the noncausal sense (labile coding), most languages have extra coding for the causal verb (causative coding) and/or for the noncausal verb (anticausative coding). Causative and anticausative coding is not randomly distributed (Haspelmath 1993): Some verb meanings, such as ‘freeze’, ‘dry’ and ‘melt’, tend to be coded as causatives, while others, such as ‘break’, ‘open’ and ‘split’, tend to be coded as anticausatives. We propose an explanation of these coding tendencies on the basis of the form–frequency correspondence principle, which is a general efficiency principle that is responsible for many grammatical asymmetries, ultimately grounded in predictability of frequently expressed meanings. In corpus data from seven languages, we find that verb pairs for which the noncausal member is more frequent tend to be coded as anticausatives, while verb pairs for which the causal member is more frequent tend to be coded as causatives. Our approach implies that linguists should not rely on form–meaning parallelism when trying to explain cross-linguistic or language-particular patterns in this domain."
