FIELD,TOPIC,LANGUAGE,CATEGORY,BIBTEXKEY,AUTHOR,EDITOR,TITLE,YEAR,TITLE_TRANSLATION,PUBLISHER,ADDRESS,PAGES,BOOKTITLE,BOOKTITLE_TRANSLATION,JOURNAL,VOLUME,NUMBER,SCHOOL,NOTE,URL,DOI,ABSTRACT
linguistics,voice,Austronesian,article,chenmcDonnell2019,"Chen, Victoria and McDonnell, Bradley",,Western Austronesian voice,2019,,,,173-195,,,Annual Review of Linguistics,5,1,,,https://www.annualreviews.org/doi/abs/10.1146/annurev-linguistics-011718-011731,doi:10.1146/annurev-linguistics-011718-011731,"Over the past four decades, the nature of western Austronesian voice—typically subcategorized as Philippine-type and Indonesian-type—has triggered considerable debate in the typological and syntactic literature. Central questions in these debates have been concerned with how voice alternations in western Austronesian languages interact with grammatical relations, transitivity, and syntactic alignment. In this review, we reassess the syntactic properties of voice alternations in western Austronesian languages, in some cases focusing on more controversial alternations, including the putative antipassive and applicative constructions in Philippine-type languages and the passive constructions in Indonesian-type languages. We discuss reasons that favor a valency-neutral approach to western Austronesian voice and evidence against a valency-changing and/or ergative approach to the analysis of these languages."
linguistics,causation,Spanish,phdthesis,arinobizarro2019,"Ariño-Bizarro, A. ",,Intentionality of causal events in Spanish: a psycholinguistic study,2019,,,,,,,,,,Universidad de Zaragoza,,,,
linguistics,causation,,book,barashersiegalboneh2020,,"Bar-Asher Siegal, Elitzur A. and Boneh, Nora",Perspectives on Causation: Selected Papers from the Jerusalem 2017 Workshop,2020,,Springer,Cham,,,,,,,,,,"https://doi.org/10.1007/978-3-030-34308-8","This book explores relationships and maps out intersections between discussions on causation in three scientific disciplines: linguistics, philosophy, and psychology. The book is organized in five thematic parts, investigating connections between philosophical and linguistic studies of causation; presenting novel methodologies for studying the representation of causation; tackling central issues in syntactic and semantic representation of causal relations; and introducing recent advances in philosophical thinking on causation. Beyond its thematic organization, readers will find several recurring topics throughout this book, such as the attempt to reduce causality to other non-causal terms; causal pluralism vs. one all-encompassing account for causation; causal relations pertaining to the mental as opposed to the physical realm, and more. This collection also lays the foundation for questioning whether it is possible to evaluate available philosophical approaches to causation against the variety of linguistic phenomena ranging across diverse lexical and grammatical items, such as bound morphemes, prepositions, connectives, and verbs. Above all, it lays the groundwork for considering whether the fruits of the psychological-cognitive study of the perception of causal relations may contribute to linguistic and philosophical studies, and whether insights from linguistics can benefit the other two disciplines."
linguistics,"causation, causative-inchoative",,incollection,tubinoblanco2020,"Tubino-Blanco, Mercedes",,Causative-Inchoative in Morphology,2020,,Oxford University Press,Oxford,,Oxford Research Encyclopedia of Linguistics,,,,,,,https://oxfordre.com/linguistics/display/10.1093/acrefore/9780199384655.001.0001/acrefore-9780199384655-e-595,,"The Causative/Inchoative alternation involves pairs of verbs, one of which is causative and the other non-causative syntactically and semantically (e.g., John broke the window vs. The window broke). In its causative use, an alternating verb is used transitively and understood as externally caused. When used non-causatively, the verb is intransitive and interpreted as spontaneous. The alternation typically exhibits an affected argument (i.e., a Theme) in both intransitive and transitive uses, whereas the transitive use also involves a Causer that brings about the event. Although they are often volitional agents (e.g., John broke the window with a stone), external causers may also be non-volitional causers (e.g., The earthquake broke the windows) and instruments (e.g., The hammer broke the window). Morphologically, languages exhibit different patterns reflecting the alternation, even intralinguistically. In languages like English, alternations are not morphologically coded, but they are in most languages. Languages like Hindi commonly mark causative (or transitive) alternations by means of different mechanisms, such as internal vowel changes or causative morphology. In many European languages, a subset of alternating verbs may exhibit an uncoded alternation, but most alternating verbs mark anticausativization with a reflexive-like clitic. In Yaqui (Uto-Aztecan), different patterns are associated with different verbal roots. The alternation may be uncoded, equipollent (i.e., both alternating forms are coded), and anticausative. Theoretically, different approaches have explored the alternation. Both lexical and syntactic causativization and anticausativization accounts have been proposed to explain the alternation. A third approach postulates that both forms are derived from a common source."
linguistics,argument structure,,talk,,,,Argument Structure for the 21st Century,2020,,,,,,,,,,,,https://www.youtube.com/watch?v=1_bjHrMunWo ,,
linguistics,causation,,incollection,bellinghametal2020,"Bellingham, Erika and Evers, Stephanie and Kawachi, Kazuhiro and Mitchell, Alice and Park, Sang-Hee and Stepanova, Anastasia and Bohnemeyer, Jürgen","Bar-Asher Siegal, Elitzur and Boneh, Nora","Exploring the representation of causality across languages: Integrating production, comprehension and conceptualization perspectives",2020,,,,75-119,Perspectives on causation. Selected papers from the Jerusalem 2017 workshop,,,,,,,,https://doi.org/10.1007/978-3-030-34308-8_3,"We present three new studies into the representation of causality across languages and cultures, drawing on preliminary findings of the project Causality Across Languages (CAL; NSF Award BCS-1535846 and BCS-1644657). The first is an examination of the strategies that speakers of different languages employ when verbalizing causal chains in narratives. These strategies comprise the output of decisions concerning which subevents to represent specifically, which to represent in an underspecified manner, and which to leave to nonmonotonic inferences such as conversational implicatures. The second study targets the semantic typology of causative constructions. We implemented a multiphasic design protocol that combines the collection of production data with that of comprehension data from a larger number of speakers. Goodness-of-fit judgments were collected based on an eight-point scale. We found a strong main effect of language and of domain of causation (physical vs. psychological vs. speech act causation); in contrast, the involvement of an intermediate event participant in the causal chain did not exert a significant effect. The third study investigates whether culture modulates the effect of intentionality on nonverbal attributions of responsibility. A linear mixed effects regression model indicated a significant interaction between intentionality and population, in line with previous findings by social psychologists. These studies represent the first large-scale comparison of how speakers of different languages categorize causal chains for the purposes of describing them."
"linguistics, linguistic typology",voice,,book,bahrt2021,"Bahrt, Nicklas N.",,Voice syncretism,2021,,Language Science Press,Berlin,,,,,,,,,,DOI: 10.5281/zenodo.5948872,"This book provides a comprehensive typological account of voice syncretism, focusing on resemblance in formal verbal marking between two or more of the following seven voices: passives, antipassives, reflexives, reciprocals, anticausatives, causatives, and applicatives. It covers voice syncretism from both synchronic and diachronic perspectives, and has been structured in a manner that facilitates convenient access to information about specific patterns of voice syncretism, their distribution and development. The book is based on a survey of voice syncretism in 222 geographically and genealogically diverse languages, but also thoroughly revisits previous research on the phenomenon. Voice syncretism is approached systematically by establishing and exploring patterns of voice syncretism that can logically be posited for the seven voices of focus in the book: 21 simplex patterns when one considers two of the seven voices sharing the same marking (e.g. reflexive-reciprocal syncretism), and 99 complex patterns when one considers more than two of the voices sharing the same marking (e.g. reflexive-reciprocal-anticausative syncretism). In a similar vein, 42 paths of development can logically be posited if it is assumed that voice marking in each of the seven voices can potentially develop one of the other six voice functions (e.g. reflexive voice marking developing a reciprocal function). This approach enables the discussion of both voice syncretism that has received considerable attention in the literature (notably middle syncretism involving the reflexive, reciprocal, anticausative and/or passive voices) and voice syncretism that has received little or no treatment in the past (including seemingly contradictory patterns such as causative-anticausative and passive-antipassive syncretism). In the survey almost all simplex patterns are attested in addition to seventeen complex patterns. In terms of diachrony, evidence is presented and discussed for twenty paths of development. The book strives to highlight the variation found in voice syncretism across the world’s languages and encourage further research into the phenomenon."
"linguistics, linguistic typology",antipassive,,book,janicwitzlackmakarevich2021,,"Janic, Katarzyna and Witzlack-Makarevich, Alena","Antipassive: Typology, diachrony, and related constructions",2021,,John Benjamins Publishing Company,Amsterdam/Philadelphia,,,,,,,,,,,
linguistics,causation,,article,xrakovskij2021,"Храковский, Виктор Самуилович",,Опыт сопоставительного анализа причинных и каузативных конструкций,2021,Causal vs. causative constructions: A tentative analysis,,,7-25,,,Вопросы языкознания,5,,,,,,"В статье проводится сопоставительный функционально-семантический анализ причинных (каузальных) и каузативных конструкций, который, насколько нам известно, до сих пор не проводился, хотя и те и другие конструкции отображают одну и ту же комплексную каузативную ситуацию, которая состоит из ситуации причины и детерминируемой ею ситуации следствия. Синтаксическое устройство сопоставляемых конструкций различно. Причинная конструкция состоит из двух клауз: основной, обозначающей следствие, и зависимой, обозначающей причину. Каузативная конструкция — одноклаузная, в которой участники ситуации причины и участники ситуации следствия выражаются актантами глагольного сказуемого, а сама причина преимущественно выражается факультативно. Соответственно, в центре внимания причинной конструкции находится причина, а в центре внимания каузативной конструкции находится следствие. Существенно также подчеркнуть, что каузативная конструкция может выступать в роли каждой клаузы причинной конструкции."
"linguistics, linguistic typology","valency, voice",,unpublished,haspelmath2022draft,"Haspelmath, Martin",,Valency and voice constructions,2022,,,,,,,,,,,draft,https://www.academia.edu/48878841/Valency_and_voice_constructions,,"This paper provides an overview of the key concepts and associated terminology in the domain of valency and voice constructions. It does not discuss explanatory theories, but focuses on clarifying the concepts and terms to serve as the basis for an evaluation of competing theories. An appendix gives simple definitions of 41 technical terms, many of which do not have a consistent meaning in the earlier literature."
"linguistics, linguistic typology",middle,,article,inglese2022,"Inglese, Guglielmo",,Towards a typology of middle voice systems,2022,,,,489-531,,,Linguistic Typology,26,3,,,,https://doi.org/10.1515/lingty-2020-0131,"The middle voice is a notoriously controversial typological notion. Building on previous work (e.g. Kemmer, Suzanne. 1993. The middle voice. Amsterdam & Philadelphia: John Benjamins), in this paper I propose a new working definition of middle markers as inherently polyfunctional constructions which are partly associated with valency change in opposition to bivalent (or more) verbs and partly lexically obligatory with monovalent verbs. Based on this definition, the paper undertakes a systematic survey of 149 middle voice constructions in a sample of 129 middle-marking languages. Evidence from the sample shows that middle voice systems display a much richer variation in forms and functions than is reported in the literature. This richer empirical evidence challenges some of the mainstream views on middle marking, especially its purported connection with reflexivity and grooming-type events, and calls for an overall rethinking of the typology of the middle voice."
"linguistics, sign languages",argument structure,,article,kimmelman2022,"Kimmelman, Vadim",,Argument Structure in Sign Languages,2022,,,,19-38,,,Annual Review of Linguistics ,8,,,,https://www.annualreviews.org/doi/full/10.1146/annurev-linguistics-031220-122519,,"Although sign languages are crucial for research on the human linguistic capacity, argument structure in these languages is rarely addressed in theoretical and typological studies. This article provides an overview of existing research on argument structure and argument structure alternations in sign languages. It demonstrates that there are many fundamental similarities between the two modalities in the domain of argument structure, such as the basic valency patterns and the semantic basis of argument structure. At the same time, modality effects, such as iconicity, simultaneity, and the use of space, play an important role in argument structure realization. Finally, the article discusses how emerging sign languages present an opportunity to observe and study the emergence of argument structure."
linguistics,causation,,article,levshina2022,"Levshina, Natalia",,Semantic maps of causation: New hybrid approaches based on corpora and grammar descriptions,2022,,,,179-205,,,Zeitschrift für Sprachwissenschaft,41,1,,,,https://doi.org/10.1515/zfs-2021-2043,"The present paper discusses connectivity and proximity maps of causative constructions and combines them with different types of typological data. In the first case study, I show how one can create a connectivity map based on a parallel corpus. This allows us to solve many problems, such as incomplete descriptions, inconsistent terminology and the problem of determining the semantic nodes. The second part focuses on proximity maps based on Multidimensional Scaling and compares the most important semantic distinctions, which are inferred from a parallel corpus of film subtitles and from grammar descriptions. The results suggest that corpus-based maps of tokens are more sensitive to cultural and genre-related differences in the prominence of specific causation scenarios than maps based on constructional types, which are described in reference grammars. The grammar-based maps also reveal a less clear structure, which can be due to incomplete semantic descriptions in grammars. Therefore, each approach has its shortcomings, which researchers need to be aware of."
"linguistics, linguistic typology",labile verbs,,article,levshinahawkins2022,"Levshina, Natalia and Hawkins, John A.",,Verb-argument lability and its correlations with other typological parameters. A quantitative corpus-based study,2022,,,,94-120,,,Linguistic Typology at the Crossroads,2,1,,,,https://doi.org/10.6092/issn.2785-0943/13861,"We investigate the correlations between A- and P-lability for verbal arguments with other typological parameters using large, syntactically annotated corpora of online news in 28 languages. To estimate how much lability is observed in a language, we measure associations between Verbs or Verb + Noun combinations and the alternating constructions in which they occur. Our correlational analyses show that high P-lability scores correlate strongly with the following parameters: little or no case marking; weaker associations between lexemes and the grammatical roles A and P; rigid order of Subject and Object; and a high proportion of verb-medial clauses (SVO). Low P-lability correlates with the presence of case marking, stronger associations between nouns and grammatical roles, relatively flexible ordering of Subject and Object, and verb-final order. As for A-lability, it is not correlated with any other parameters. A possible reason is that A-lability is a result of more universal discourse processes, such as deprofiling of the object, and also exhibits numerous lexical and semantic idiosyncrasies. The fact that P-lability is strongly correlated with other parameters can be interpreted as evidence for a more general typology of languages, in which some tend to have highly informative morphosyntactic and lexical cues, whereas others rely predominantly on contextual environment, which is possibly due to fixed word order. We also find that P-lability is more strongly correlated with the other parameters than any of these parameters are with each other, which means that it can be a very useful typological variable. "
"linguistics, linguistic typology",anticausative,,article,inglese2022,"Inglese, Guglielmo",,Cross-linguistic sources of anticausative markers,2022,,,,127-186,,,Linguistic Typology at the Crossroads,2,2,,,,https://doi.org/10.6092/issn.2785-0943/14224,"The (anti)causative alternation, that is, the alternation whereby languages contrast intransitive verbs expressing spontaneous events with transitive ones expressing externally caused events, has been the object of extensive language-specific and cross-linguistic studies. Within this type of alternation, marking on the intransitive member goes under the name of anticausative marking, while marking on the transitive member is causative marking. Historical research has mostly focused on causatives, while the diachrony of anticausative markers has largely been neglected. In the literature, only two possible cross-linguistic sources of anticausatives are mentioned: reflexives and passives. By looking at a sample of 97 languages, in this paper I show that sources of anticausativization are much more varied than what currently reported in the literature. Taking this richer diachronic evidence into account also sheds light on some yet controversial aspects concerning the relationship between anticausativization and reflexivity."
linguistics,"causation, lability",Mehweb,article,daniel2022,"Daniel, Michael",,"Double causatives, lability and elusive agent in Mehweb",2022,,,,73-97,,,STUF - Language Typology and Universals,75,1,,,,https://doi.org/10.1515/stuf-2022-1049,"In this paper, I consider double causatives in Mehweb, a one village language spoken in Daghestan, Russia, and belonging to the Dargwa branch of East Caucasian. The capability of stacking two causative suffixes seems to be lexically restricted, and mapping onto verbal meanings that are typically P-labile in the languages of the family. Interestingly, the verbs allowing double causatives are not morphosyntactically labile in Mehweb, which is generally poor in labile verbs as compared to sister languages. I conclude that the ability to form double causatives is not a consequence of the morphosyntactic property of being labile; rather, both morphosyntactic properties follow from the same component of the lexical semantics of these verbs and ultimately from the properties of the situational concepts they convey. As a tentative functional explanation I suggest that the relevant property is the weakened status of the agentive participant."
linguistics,causation,Tsugni Dargwa,article,sulaibanovsumbatova2022,"Сулайбанов, Г. Р. and Сумбатова, Н. Р.",,Об одном типологическом раритете: каузатив в цугнинском диалекте даргинского языка,2022,On one typological rarity: The causative in Tsugni Dargwa,,,109-131,,,Вопросы языкознания,3,,,,,DOI: 10.31857/0373-658X.2022.3.109-131,
linguistics,verb classification,,article,majewskakorhonen2023,"Majewska, Olga and Korhonen, Anna",,Verb Classification Across Languages,2023,,,,313-333,,,Annual Review of Linguistics,9,,,,,,"Recent developments in language modeling have enabled large text encoders to derive a wealth of linguistic information from raw text corpora without supervision. Their success across natural language processing (NLP) tasks has called into question the role of man-made computational resources, such as verb lexicons, in supporting modern NLP. Still, probing analyses have concurrently exposed the limitations of the knowledge possessed by the large neural architectures, revealing them to be clever task solvers rather than self-taught linguists. Can human-designed lexical resources still help fill their knowledge gaps? Focusing on verb classification, we discuss approaches to generating verb classes multilingually and weigh the relative benefits of undertaking expensive lexicographic work and outsourcing the task to untrained native speakers. Then, we consider the evidence for the utility of augmenting pretrained language models with external verb knowledge and ponder the ways in which human expertise can continue to benefit multilingual NLP."
"linguistics, linguistic typology",reciprocal,,article,nordlinger2023,"Nordlinger, Rachel",,The Typology of Reciprocal Constructions,2023,,,,71-91,,,Annual Review of Linguistics,9,,,,,https://www.annualreviews.org/doi/10.1146/annurev-linguistics-022421-064006,"Reciprocal constructions involve a complex mapping of semantics onto morphosyntax, requiring multiple propositions to be overlaid onto a single clause and the permutation of semantic roles within the set of participants involved. This complexity challenges the standard processes relating predicates to situations, and thus languages arrive at a great diversity of solutions for how reciprocal situations are encoded within a single clausal structure. Recent typological work has showcased this diversity from different perspectives, but further work is needed to determine how different morphosyntactic and semantic properties interact and what implicational connections and correlations exist with other parts of the linguistic system. Theoretical typologies highlight the importance of reciprocal constructions for our understanding of grammatical structure crosslinguistically."
linguistics,causation,Tatyshly Udmurt,article,belova2023,"Белова, Дарья Дмитриевна",,К вопросу о событийной структуре морфологического каузатива: данные татышлинского говора удмуртского языка,2023,On the question of the event structure of the morphological causative: Tatyshly Udmurt data,,,,,,Урало-алтайские исследования,49,2,,,,DOI: 10.37892/2500-2902-2023-49-1-7-26,"В работе исследуются событийно-структурные свойства каузативных глагольных дериватов с суффиксом -t в татышлинском говоре удмуртского языка (респ. Башкортостан). Применительно к каузативам, образованным от агентивных (одноместных и двуместных) основ, рассматриваются следующие явления, связанные с событийной структурой, которые приняты в литературе в качестве диагностик одно- или двусобытийности каузативов: набор возможных контролеров субъекта деепричастной клаузы (только Каузатор / Каузатор и Каузируемый), модификация адвербиалами образа действия, временнóй локализации, длительности и кратности (только каузируемое подсобытие / каузируемое и каузирующее подсобытия / вся ситуация целиком). Применение диагностик показывает следующие результаты. Тест на возможность контроля субъекта деепричастной клаузы единственный из всего набора соответствует двусобытийной структуре, что может быть связано с внешними синтаксическими факторами и тем самым ставит под сомнение надежность теста в других языках. Тесты на интерпретацию адвербиалов показывают, что каузирющее подсобытие не может принимать никакие модификаторы и имеет экстремально редуцированную структуру. Каузативы и с контактной, и с дистантной семантикой, таким образом, являются однособытийными, что противоречит известным данным литературного удмуртского языка. Полученные результаты говорят в пользу подхода к семантике каузативов как к континууму между прямой и непрямой каузацией. Татышлинские морфологические каузативы с суффиксом -t покрывают весь семантический континуум, кроме собственно непрямых, поскольку даже дистантные употребления не допускают временнóго разрыва между каузирующим и каузируемым подсобытиями. Тот факт, что ситуации каузации, которые концептуализируются как единые неделимые ситуации, выражаются морфологически продуктивными, а не лексическими средствами, представляется типологически любопытным."
linguistics,causation,,manuscript,caoetal2023,"Cao, Angela and Geiger, Atticus and Kreiss, Elisa and Icard, Thomas and Gerstenberg, Tobias",,"A Semantics for Causing, Enabling, and Preventing Verbs Using Structural Causal Models",2023,,,,,,,,,,,,https://cicl.stanford.edu/papers/cao2023semantics.pdf,https://doi.org/10.31234/osf.io/kpu52,
"linguistics, linguistic typology","transitivity, valency, voice",,book,creissels2024,"Creissels, Denis",,"Transitivity, Valency, and Voice",2024,,,,,,,,,,,,,,
linguistics,lability,Latin,article,ongenae2024,"Ongenae, Tim A. F.",,Permittito aperiat oculum: typological considerations on P-lability and its interaction with morphosyntactic alignment in Latin medical texts,2024,,,,79-113,,,Folia Linguistica,58,s45-s1,,,,https://doi.org/10.1515/flin-2024-2005 ,"This paper explores the diachrony of Latin P-labile verbs (verbs that can be used transitively and intransitively with the preservation of the Patient and without a formal change), availing itself from evidence in medical and veterinary texts from the first to seventh century AD. The first part of the analysis discusses the influence of verbal semantics on the domain of lability in these texts and how lability developed as a diathetic strategy for the anticausative, the causative and the passive in Latin. Special attention is paid to the increase of P-lability as an anticausative strategy and its relation to the mediopassive and reflexive anticausative strategies in Late Latin. The second part of the analysis proposes a new explanation for the increase of P-lability in Latin and discusses the consequences of the development of a semantic-based alignment in Late Latin (the extended accusative) on the syntax and development of P-labile verbs."
linguistics,causation,,article,schwenkler2023,"Schwenkler, John",,The categories of causation,2024,,,,,,,Synthese,203,9,,,,,"This paper is an essay in what Austin (Proc Aristotel Soc 57: 1–30, 1956–1957) called ""linguistic phenomenology"". Its focus is on showing how the grammatical features of ordinary causal verbs, as revealed in the kinds of linguistic constructions they can figure in, can shed light on the nature of the processes that these verbs are used to describe. Specifically, drawing on the comprehensive classification of English verbs founds in Levin (English verb classes and alternations: a preliminary investigation, University of Chicago Press, Chicago, 1993), I divide the forms of productive causal processes into five classes, corresponding to Aristotle's ontological categories: there are processes that cause change in location, in state, and in quantity; and that lead to the creation and destruction of substances. These broader categories are then subdivided into other ones, corresponding to different Levin classes, according to further differences in the causal processes they involve. I conclude by discussing the relevance of this argument to research in metaphysics and experimental philosophy."
"linguistics, linguistic typology",valency change,Nenets,phdthesis,stenin2024,"Стенин, Иван А.",,Актантная деривация в тундровом ненецком языке в типологической перспективе,2024,,,,,,,,,,,,,,
linguistics,reciprocal,,phdthesis,kruitwagen2024,"Kruitwagen, Imke",,Lexical reciprocal verbs,2024,,,,151 pp.,,,,,,,,https://www.lotpublications.nl/lexical-reciprocal-verbs,,"Reciprocal verbs alternate between unary collective sentences (Carrie and Aidan fought), binary sentences (Carrie fought Aidan) and “with” sentences (Carrie fought with Aidan). There is no agreement in the literature on the semantic account that properly characterizes the reciprocal alternation. Results of the experiments that we reported show that, in contrast to the common assumption in the field, the reciprocal alternation does not show a unidirectional entailment from unary reciprocal sentences to the binary reciprocal. In other words: if it is true that Carrie and Aidan fought, it is not necessarily true that Carrie fought Aidan and Aidan fought Carrie. The reciprocal alternation has a more complex semantics, which is not exhausted by standard logical notions like symmetry. To give a full account of reciprocal verb meaning, we also need to consider the conceptual content of the verb and its sensitivity to typicality effects. We found that in asymmetric events the acceptance of reciprocal sentences is boosted if participants in the event show the relevant emotion or intention, for instance ‘being angry’ in case of an event for the verb ‘fight’. We argued that the semantic relation between the different reciprocal alternates can be accounted for by a Threshold Model, based on the notion of typicality.The new element in our use of the Threshold Model is in accounting for the systematic relations between the argument structure of reciprocal verbs and the conceptual meaning of the verbs."
linguistics,reciprocal,,phdthesis,palmieri2024,"Palmieri, Giada",,Lexical and Grammatical Reciprocity,2024,,,,205 pp.,,,,,,,,https://www.lotpublications.nl/lexical-and-grammatical-reciprocity,,"In English, reciprocal meanings can be expressed through two distinct strategies: grammatical and lexical. Grammatical reciprocity involves dedicated elements that target a verb’s argument and express mutuality, as in the sentence “The girls kissed each other”, whereas lexical reciprocity is expressed by an intransitive predicate, as in “The girls kissed”. Unlike English, many languages do not clearly differentiate between these two reciprocal strategies. Reciprocal interpretations are commonly associated with the element “si” in Italian, or with the verbal marker “an” in Swahili, without an apparent distinction between lexical and grammatical processes. This thesis focuses on the characterization of lexical reciprocity as opposed to grammatical reciprocity, particularly in Romance and Bantu languages where only one reciprocal form is available on the surface. The proposed analysis studies the contribution of reciprocal markers in these languages, and covers a broad cross-linguistic sample of phenomena that are distinctive of lexical reciprocal predicates. By analyzing central semantic and morphosyntactic properties of reciprocals, this thesis offers a unifying perspective on the characterization of reciprocity across languages, irrespective of whether they show an evident distinction between lexical and grammatical processes."
linguistics,"causation, valency",Nenets,phdthesis,stenin2024phd,"Стенин, Иван Андреевич",,Актантная деривация в тундровом ненецком языке в типологической перспективе,2024,,,,,,,,,,НИУ ВШЭ,,,,
linguistics,causation,Basque,article,berroetal2025,"Berro, A. and Odria, A. and Fernández, B.",,Indirect causatives in Basque: The syntax of implicit causees,2025,,,,1285-1325,,,Natural Language & Linguistic Theory,43,,,,,https://doi.org/10.1007/s11049-024-09637-1,"In Basque there is a morphological causative construction where the causative suffix is added to the verbal root and an additional argument—the causer—is added to the already existing ones. In this paper we analyze indirect causatives (ICs), that is, morphological causative constructions where the causee—the caused-to-act subject—is left implicit, with no morphological reflex. Our analysis argues that both causative constructions, the direct and the indirect ones, involve a Voice-over-Voice projection and discusses its consequences for Case and Agreement. Additionally, we explore the nature of the implicit causee, and claim that it is syntactically projected as a strong implicit argument but with deficient φ-features. In these respects, it is similar to the impersonal subject found in Basque. Nevertheless, it differs in one key aspect: the causee is projected in a phrase with its own probe, resulting in distinct behavior concerning the PCC. This paper contributes to the discussion on the different versions of Voice, the syntactic nature of implicit arguments and how they interact in different constructions like causatives and impersonals."
linguistics,causation,Hawaiian ,article,medeiros2025,"Medeiros, D. J.",,Inner and outer domains for Hawaiian causatives and nominalizers,2025,,,,,,,Glossa: a journal of general linguistics,10,1,,,,https://doi.org/10.16995/glossa.9194,"Hawaiian valency-related morphology includes a complex set of surface forms which have traditionally been understood as causatives. Despite phonological similarity among this set of forms, these have traditionally been analyzed as separate morphemes. A closer view of their distribution and argument structure suggests an analysis in which these forms are allomorphs of one underlying, valency-increasing morpheme. A similar analysis of two nominalizing forms suggests that these are also allomorphs of one valency-decreasing morpheme. In each case (causatives and nominalizers), an analysis of surface realization is presented in terms of inner (or root-selecting) and outer domains. With the analysis of causatives and nominalizers in place, corpus evidence suggests that the inner causative allomorph and inner nominalizing allomorph do not co-occur, even though co-occurrence of the inner nominalizer and the outer causative is common. This data suggests a morpho-syntactic view of word formation, according to which morphological properties result from general properties of the morpho-syntax, such as the availability of only one root-selecting position for a given root."
linguistics,causation,,article,baglinibarashersiegal2025,"Baglini, Rebekah and Bar-Asher Siegal, Elitzur A.",,Modeling linguistic causation,2025,,,,647-691,,,Linguistics and Philosophy,48,,,,,https://doi.org/10.1007/s10988-025-09436-w,"This paper develops a formal methodology for capturing and representing the semantics of causal expressions in natural languages. Focusing on two causative constructions—covert causatives (change-of-state verbs) and overt causatives (the verb cause)—it provides a proof of concept for analyzing the distinguished meanings of different causative constructions. We adopt the formal framework of Structural Equation Modeling (SEM) to analyze causality and integrate it into model-theoretic semantics for interpreting causal statements. In our approach, the selection of a cause within a particular construction depends on its inclusion in a sufficient set of conditions that bring about the effect, as well as on specific properties of the cause itself. To formalize this process, we introduce the concept of causative-construction selection (CC-selection), which captures how speakers select a causative construction that aligns with the relational structure between states of affairs. For each relevant condition within the sufficient set, CC-selection determines whether it can be encoded as the cause in a statement articulated through a specific causative construction, thereby describing a particular state of affairs. We argue that CC-selection plays a central role in shaping the meaning of causal statements. By leveraging the SEM framework, CC-selection effects can be formally explained through contrasts within the structure of a model. For instance, notions of sufficiency and necessity, which play a crucial role in these selections, are rigorously defined within SEM, allowing for a precise account of CC-selection effects. This paper further illustrates how CC-selection accounts for contrastive inference patterns across constructions. By focusing on the two causative constructions central to our discussion, it resolves longstanding puzzles associated with change-of-state (CoS) verbs. The proposed framework establishes a foundation for the systematic study of causal language, bridging semantics and philosophy while providing tools to investigate the interplay between causative constructions and their associated causal meanings."
linguistics,causation,Portuguese ,article,goncalvessantos2025,"Gonçalves, A. and Santos, A. L.",,Causatives with small clause complements,2025,,,,1-24,,,Isogloss. Open Journal of Romance Linguistics,11,7,,,,https://doi.org/10.5565/rev/isogloss.583,"We discuss the syntactic properties of a small subset of verbs in European Portuguese (EP) that have a causative interpretation and may also have a locative meaning, namely pôr a ‘put to / make’ and deixar a ‘make’. We show that in their non-locative interpretation they are causatives taking as their complement a Prepositional Infinitival Construction (PIC), which we analyze as an AspP, but also a domain in which a predication relationship is established. We thus show that the PIC in EP, which has previously been identified under perception verbs, can also occur as the complement of causatives and we contribute to identify a new class of causatives, which are syntactically distinct from faire-type causatives. We additionally explore a decausative counterpart of one of these syntactic causatives, pôr-se a ‘begin’, which we analyze as a raising verb, close to a semi-auxiliary, whose complement is also an AspP, but not exactly a PIC, to the extent that this AspP does not coincide with a domain in which a predication relationship is established."
"linguistics, philosophy",causation,,article,barashersiegal2026,"Bar-Asher Siegal, Elitzur A.",,Causation and Causal Relations: Insights from Natural Language,2026,,,,125-145,,,Annual Review of Linguistics,12,,,,,https://doi.org/10.1146/annurev-linguistics-041824-031335,"This article examines the relationship between natural language and causal cognition and argues that linguistic expressions both reflect and constrain the ways in which humans conceptualize and represent causation. It opens with a survey of foundational philosophical theories of causation, focusing on the tension between metaphysical accounts and judgment-based approaches. The discussion then turns to a range of linguistic phenomena—including causative constructions, conditional sentences, discourse coherence, aspectual interpretation, and argument structure—demonstrating how causal relations are systematically encoded across grammatical domains. Building on insights from linguistics, philosophy, and cognitive science, the article reviews recent developments of a semantic framework for modeling causal knowledge in language. Rather than assuming a uniform mapping between causal relations and their linguistic expressions, the framework accounts for systematic variation in how causality is selected, structured, and communicated. In doing so, it positions natural language as a key source of evidence for understanding the architecture of causal reasoning and its representation in human cognition."
