LANGUAGE,CATEGORY,BIBTEXKEY,AUTHOR,EDITOR,TITLE,YEAR,TITLE_TRANSLATION,PUBLISHER,ADDRESS,PAGES,BOOKTITLE,BOOKTITLE_TRANSLATION,JOURNAL,VOLUME,NUMBER,SCHOOL,NOTE,URL,DOI,ABSTRACT,Aramaic
Semitic,article,diem1982,"Diem, Werner",,Die Entwicklung des Derivationsmorphems der t-Stämme im Semitischen,1982,,,,29-84,,,Zeitschrift der Deutschen Morgenländischen Gesellschaft ,132,1,,,,,,
NENA,article,sabar1982,"Sabar, Yona",,The Quadriradical Verb in Eastern Neo-Aramaic Dialects,1982,,,,,,,Journal of Semitic Studies,27,2,,,,,,yes
Hebrew,article,berman1982,"Berman, Ruth",,"Verb-pattern alternation: the interface of morphology, syntax, and semantics in Hebrew child language",1982,,,,169-191,,,Journal of Child Language,9,1,,,10.1017/S030500090000369X,,,
Jewish Amadiya,book,hoberman1989,"Hoberman, Robert D.",,The Syntax and Semantics of Verb Morphology in Modern Aramaic: A Jewish Dialect of Iraqi Kurdistan,1989,,,,226 pp.,,,,,,,,,,,yes
Semitic,book,retso1989,"Retsö, J.",,Diathesis in the Semitic languages: a comparative morphological study,1989,,Brill,Leiden,,,,,,,,,,,,
Ugaritic,book,tropper1990,"Tropper, J.",,Der ugaritische Kausativstamm und die Kausativbildungen des Semitischen : eine morphologisch-semantische Untersuchung zum Š-Stamm und zu den umstrittenen nichtsibilantischen Kausativstämmen des Ugaritischen,1990,,Ugarit-Verlag,Münster,,,,,,,,,,,,
Semitic,incollection,greenberg1991,"Greenberg, J. H.","Kaye, A.S.",The Semitic “intensive” as verbal plurality,1991,,Harrassowitz,Wiesbaden,577-587,"Semitic Studies in honor of Wolf Leslau on the occasion of his eighty-fifth birthday November 14th, 1991",,,,,,,,,,
"Hebrew, Aramaic",incollection,meehan1991,"Meehan, C.","Jongeling, K. and Murre-Van den Berg, H. L. and Van Rompay, L.",Qal/Peˁal as the Passive of Hifˁil/Afˁel in Mishnaic Hebrew and Middle Aramaic,1991,,Brill,Leiden,,Studies in Hebrew and Aramaic Syntax: Presented to Professor J. Hoftijzer on the Occasion of his Sixty-Fifth Birthday,,,,,,,,,,yes
NENA,incollection,hoberman1992,"Hoberman, R. D.","Booij, G., van Marle, J.",Formal Properties of the Conjugations in Modern Aramaic,1992,,Springer,Dordrecht,49-64,Yearbook of Morphology 1991,,,,,,,,https://doi.org/10.1007/978-94-011-2516-1_5,,yes
"Hebrew, Syriac, NENA",book,aronoff1994,"Aronoff, Mark",,Morphology by Itself: Stems and Inflectional Classes,1994,,MIT Press,"Cambridge, Massachusetts",,,,,,,,,,,"Most recent research in generative morphology has avoided the treatment of purely morphological phenomena and has focused instead on interface questions, such as the relation between morphology and syntax or between morphology and phonology. In this monograph Mark Aronoff argues that linguists must consider morphology by itself, not merely as an appendage of syntax and phonology, and that linguistic theory must allow for a separate and autonomous morphological component.Following a general introductory chapter, Aronoff examines two narrow classes of morphological phenomena to make his case: stems and inflectional classes. Concentrating first on Latin verb morphology, he argues that morphological stems are neither syntactic nor phonological units. Next,using data from a number of languages, he underscores the traditional point that the inflectional class of a word is not reducible to its syntactic gender. He then explores in detail the phonologically motivated nominal inflectional class system of two languages of Papua New Guinea (Arapeshand Yimas) and the precise nature of the relation between this system and the corresponding gender system. Finally,drawing on a number of Semitic languages, Aronoff argues that the verb classes of these languages are purely inflectional although they are partly motivated by derivational and syntactic considerations. Mark Aronoff is Professor of Linguistics at the State University of New York at Stony Brook.",
Hebrew,Master’s thesis,morrison1995,"Morrison, Geoffrey Stewart",,Teaching the classical Hebrew stem system: The binyanim,1995,,,,,,,,,,Vancouver School of Theology,,,,,
